,DAI-USDC 500 10,LINK-WETH 3000 60,UNI-WETH 3000 60,USDC-USDT 500 10,USDC-WETH 3000 60,USDC-WETH 500 10,WBTC-PAX 3000 60,WBTC-USDC 3000 60,WBTC-WETH 3000 60,WETH-USDT 3000 60
 $0.00 ,,,,,,0.399580308,,,,
 $0.00 ,,,,,,0.399580308,,,,
 $0.00 ,0.299535496,,,,,,,,,
 $0.00 ,,,,,,,,,,2.371311878
 $0.00 ,,,,,,,,,,1.192769433
 $0.00 ,,,,,,0.199790154,,,,
 $0.00 ,,,,,,0.199790154,,,,
 $0.00 ,,,,,74.99090693,,,,,
 $0.00 ,,,,,,,,,,1.192769433
 $0.00 ,,,,,,0.099945022,,,,
 $0.00 ,,36.23575025,,,,,,,,
 $0.00 ,,,,0.299535496,,,,,,
 $0.00 ,,,,,,,,,,1.192769433
 $0.00 ,,,,,,,,,,1.192769433
 $0.00 ,,,,,,0.399580308,,,,
 $0.00 ,,,,,25.91706677,,,,,
 $0.00 ,,,,0.299535496,,,,,,
 $0.00 ,,,,0.199790154,,,,,,
 $0.00 ,,,,,,,,,,1.192769433
 $0.00 ,,,,,,0.799160616,,,,
 $0.00 ,,,,,,0.199790154,,,,
 $0.00 ,,,,,,0.599370462,,,,
 $0.00 ,,,,,5.823264131,,,,,
 $0.00 ,,,,,,0.199790154,,,,
 $0.00 ,,,,0.299535496,,,,,,
 $0.01 ,,,,,0.598173776,,,,,
 $0.01 ,1.980034656,,,,,,,,,
 $0.01 ,,,,0.299535496,,,,,,
 $0.01 ,,,,0.299535496,,,,,,
 $0.01 ,,,,,5.823264131,,,,,
 $0.01 ,,,,0.299535496,,,,,,
 $0.01 ,,,4.112820593,,,,,,,
 $0.01 ,,,,,16.47222716,,,,,
 $0.01 ,,,,,,,,,,0.598173776
 $0.01 ,,,,,,,,64.0254207,,
 $0.01 ,1.980034656,,,,,,,,,
 $0.01 ,,,1.783808376,,,,,,,
 $0.01 ,,,,,,2.395086881,,,,
 $0.01 ,,,,,,2.794268027,,,,
 $0.01 ,,,,0.099945022,,,,,,
 $0.01 ,,,,,,0.399181147,,,,
 $0.01 ,,,,0.498727207,,,,,,
 $0.01 ,,,,,,0.399181147,,,,
 $0.01 ,,,,,27.43369697,,,,,
 $0.01 ,,,,0.299535496,,,,,,
 $0.01 ,,,,,2.955301088,,,,,
 $0.01 ,,,,,,,,,,1.192769433
 $0.01 ,,,,,,0.099945022,,,,
 $0.01 ,,,,,2.955301088,,,,,
 $0.01 ,,,,,2.955301088,,,,,
 $0.01 ,,,,,2.371311878,,,,,
 $0.01 ,,,,,2.955301088,,,,,
 $0.01 ,,,,,2.371311878,,,,,
 $0.01 ,,,,,5.910602176,,,,,
 $0.02 ,,,,,2.955301088,,,,,
 $0.02 ,,,,,2.955301088,,,,,
 $0.02 ,,,,,2.371311878,,,,,
 $0.02 ,,,,,2.955301088,,,,,
 $0.02 ,,,,,2.385538867,,,,,
 $0.02 ,,,,,2.955301088,,,,,
 $0.02 ,9.515805807,,,,,,,,,
 $0.02 ,,,,0.099945022,,,,,,
 $0.02 ,,,,,2.955301088,,,,,
 $0.02 ,,,,0.099945022,,,,,,
 $0.02 ,,,,,74.99090693,,,,,
 $0.02 ,,,,,2.955301088,,,,,
 $0.02 ,,,,,24.57156808,,,,,
 $0.02 ,,,,,5.910602176,,,,,
 $0.02 ,,,,,2.955301088,,,,,
 $0.02 ,,,,,2.955301088,,,,,
 $0.02 ,,,,,2.955301088,,,,,
 $0.02 ,,,,,5.910602176,,,,,
 $0.02 ,,,,,3.535797028,,,,,
 $0.02 ,,,,,99.00259605,,,,,
 $0.02 ,,,,,5.910602176,,,,,
 $0.02 ,,,,,3.535797028,,,,,
 $0.02 ,,,,,,2.468886891,,,,
 $0.02 ,,,,,4.686392555,,,,,
 $0.02 ,,,,,3.535797028,,,,,
 $0.02 ,,,,,8.225641187,,,,,
 $0.02 ,,,,,,,,,,13.92855687
 $0.02 ,,,,,,2.468886891,,,,
 $0.02 ,,,,,,,,,,74.99090693
 $0.02 ,,,,0.199790154,,,,,,
 $0.02 ,,,,,,2.468886891,,,,
 $0.02 ,,,,,2.955301088,,,,,
 $0.02 ,,,,,,,,,,0.598173776
 $0.02 ,,,,,99.90038916,,,,,
 $0.02 ,,,,8.781985229,,,,,,
 $0.02 ,,,,,99.90038916,,,,,
 $0.02 ,,,,,199.8007783,,,,,
 $0.02 ,,,,,99.90038916,,,,,
 $0.02 ,,,,,99.90038916,,,,,
 $0.02 ,,,,,99.90038916,,,,,
 $0.02 ,,,,,99.90038916,,,,,
 $0.02 ,,,,,99.90038916,,,,,
 $0.02 ,,,,,99.90038916,,,,,
 $0.02 ,,,,,99.90038916,,,,,
 $0.02 ,,,,,99.90038916,,,,,
 $0.02 ,,,,,99.90038916,,,,,
 $0.02 ,,,,,99.90038916,,,,,
 $0.02 ,,,,,99.90038916,,,,,
 $0.02 ,,,,,99.90038916,,,,,
 $0.02 ,,,,,99.90038916,,,,,
 $0.02 ,,,,,99.90038916,,,,,
 $0.02 ,,,,,99.90038916,,,,,
 $0.02 ,,,,,99.90038916,,,,,
 $0.02 ,,,,,99.90038916,,,,,
 $0.02 ,,,,,99.90038916,,,,,
 $0.02 ,,,,,99.90038916,,,,,
 $0.02 ,,,,,99.90038916,,,,,
 $0.02 ,,,,,99.90038916,,,,,
 $0.02 ,,,,,,,,,,1.783808376
 $0.02 ,,,,,,,,,,2.371311878
 $0.02 ,,,,,74.99090693,,,,,
 $0.02 ,,,,,,,,,50.14070274,
 $0.02 ,,,,,,17.30330104,,,,
 $0.02 ,,,,,,5.588536055,,,,
 $0.02 ,,,,,,0.399181147,,,,
 $0.02 ,,,,,,0.798362294,,,,
 $0.03 ,,,,,,,,,,1.192769433
 $0.03 ,,,,,5.823264131,,,,,
 $0.03 ,,,,,3.5783083,,,,,
 $0.03 ,,,1.783808376,,,,,,,
 $0.03 ,,,1.192769433,,,,,,,
 $0.03 ,,,,,,,,,,1.192769433
 $0.03 ,,,,,,,,,,1.192769433
 $0.03 ,,,,,,,,,,71.13935633
 $0.04 ,,,71.13935633,,,,,,,
 $0.04 ,,,,,57.25293281,,,,,
 $0.04 ,,,,,,,,,,8.349386034
 $0.04 ,,,74.99090693,,,,,,,
 $0.04 ,,,1.192769433,,,,,,,
 $0.04 ,,,,,99.90038916,,,,,
 $0.04 ,,,,,,,,,,1.192769433
 $0.04 ,,,0.598173776,,,,,,,
 $0.04 ,,,2.385538867,,,,,,,
 $0.04 ,100,,,,,,,,,
 $0.04 ,,,,,,,,,,4.771077734
 $0.05 ,,,35.783083,,,,,,,
 $0.05 ,,,,,,,,,94.99058132,
 $0.05 ,,,,,,,,,,2.371311878
 $0.05 ,,,,,,99.89998993,,,,
 $0.05 ,,,,,,,,,,2.385538867
 $0.05 ,,,,,5.823264131,,,,,
 $0.05 ,,,,,,,,,17.46852091,
 $0.05 ,,,,,0.598173776,,,,,
 $0.05 ,,,,,,,,,,8.349386034
 $0.06 ,,,,,,,,,,1.192769433
 $0.06 ,,,,,5.823264131,,,,,
 $0.06 ,,,53.04414132,,,,,,,
 $0.06 ,,,,,,,,,,9.542155468
 $0.06 ,,,,,9.153162358,,,,,
